pekerjaan,tujuan_pinjaman,agunan,tipe_agunan,status_agunan_terburuk,kondisi_agunan,asuransi_agunan,status_lunas_agunan,jumlah_agunan,nilai_agunan,tenor,usia_agunan,agunan_dibanyak_pinjaman,merk_aset,kesediaan_untuk_digadaikan,jenis_asset_bergerak_atau_tidak,aset_maya,riwayat_agunan_sebelumnya,kemudahan_dijual_kembali,kenaikan_nilai_property_agunan,status_kepemilikan_asset,surat_berharga,cluster,cluster_label
Pengacara/Konsultan_Hukum/Pejabat_di_Pengadilan,Pendidikan,Surat Berharga,Tak berwujud,0.0,Meragukan,False,Lunas,10.0,370604.0,29,2,Tidak,Merk_H,Tidak,Tidak,-1.0,Tidak Pernah,Resiko Tinggi,7.0,Pribadi,1.0,1.0,layak
Pemilik/Owner/Self-emplyment,Tempat Tinggal,Piutang Usaha,Tak berwujud,0.0,Meragukan,True,Lunas,7.0,759201022.0,85,18,Tidak,Merk_F,Ya,Ya,2.0,Pernah,Kuat,20.0,Non-Pribadi,1.0,0.0,tidak layak
Manager/eksekutif,Bisnis/Usaha,Asuransi Jiwa,Tak berwujud,0.0,Sangat Lemah,True,Lunas,9.0,2412274.0,56,10,Ya,Merk_C,Ya,Ya,-1.0,Tidak Pernah,Lemah,0.0,Pribadi,1.0,0.0,tidak layak
Professional/Agen/Mitra,Tempat Tinggal,Mesin dan Peralatan,Berwujud,0.0,Sangat Lemah,True,Lunas,6.0,124931777.0,66,7,Tidak,Merk_G,Tidak,Ya,1.0,Pernah,Lemah,6.0,Pribadi,1.0,0.0,tidak layak
Petugas_Kebersihan,Pendidikan,Mesin dan Peralatan,Berwujud,0.0,Meragukan,True,Lunas,9.0,415402081.0,25,3,Tidak,Merk_I,Tidak,Ya,2.0,Pernah,Cukup,0.0,Non-Pribadi,1.0,1.0,layak
Staf_Lainnya,Tempat Tinggal,Kendaraan,Berwujud,0.0,Resiko Tinggi,True,Belum Lunas,2.0,40688596.0,36,14,Tidak,Merk_G,Tidak,Ya,-1.0,Tidak Pernah,Sangat Lemah,2.0,Non-Pribadi,1.0,1.0,layak
Notaris,Gaya Hidup,Tanah,Berwujud,0.0,Cukup,True,Lunas,6.0,41668845.0,8,3,Tidak,Merk_E,Tidak,Tidak,-1.0,Tidak Pernah,Kuat,11.0,Non-Pribadi,1.0,1.0,layak
Akuntan/Akuntan_Publik/Auditor,Pendidikan,Rekening Tabungan dan Deposito,Berwujud,0.0,Lemah,True,Belum Lunas,1.0,682497.0,38,3,Ya,Merk_I,Ya,Tidak,2.0,Pernah,Resiko Tinggi,0.0,Pribadi,1.0,1.0,layak
Driver/Pengemudi/Supir/Kurir,Kesehatan,Bangunan,Berwujud,0.0,Resiko Tinggi,True,Lunas,3.0,311367.0,7,2,Tidak,Merk_K,Tidak,Tidak,0.0,Pernah,Lemah,16.0,Non-Pribadi,1.0,1.0,layak
Pemilik/Owner/Self-emplyment,Bisnis/Usaha,Mesin dan Peralatan,Berwujud,0.0,Resiko Tinggi,True,Belum Lunas,3.0,79495067.0,46,10,Tidak,Merk_B,Ya,Ya,1.0,Tidak Pernah,Sangat Lemah,3.0,Pribadi,1.0,1.0,layak
Direktur_Utama_/_Presiden_Komisaris,Gaya Hidup,Asuransi Jiwa,Tak berwujud,0.0,Meragukan,False,Belum Lunas,1.0,317011638.0,13,5,Ya,Merk_E,Ya,Ya,1.0,Tidak Pernah,Lemah,9.0,Non-Pribadi,1.0,1.0,layak
Pegawai_Negeri_Sipil,Kesehatan,Kendaraan,Berwujud,0.0,Sangat Lemah,False,Lunas,5.0,589238.0,21,2,Tidak,Merk_J,Ya,Ya,1.0,Pernah,Lemah,20.0,Non-Pribadi,1.0,1.0,layak
Petugas_Kebersihan,Tempat Tinggal,Piutang Usaha,Tak berwujud,0.0,Meragukan,True,Belum Lunas,1.0,7387884.0,30,18,Ya,Merk_F,Tidak,Ya,-1.0,Tidak Pernah,Lemah,3.0,Pribadi,1.0,1.0,layak
Staf_bagian_penagihan_kredit_di_bank,Kesehatan,Hak Kekayaan Intelektual,Tak berwujud,0.0,Resiko Tinggi,False,Belum Lunas,2.0,72752369.0,20,1,Ya,Merk_K,Tidak,Ya,2.0,Pernah,Resiko Tinggi,1.0,Pribadi,1.0,1.0,layak
Ibu_Rumah_Tangga,Bisnis/Usaha,Piutang Usaha,Tak berwujud,0.0,Cukup,True,Belum Lunas,6.0,9288607.0,27,3,Ya,Merk_A,Tidak,Ya,2.0,Pernah,Sangat Kuat,5.0,Non-Pribadi,1.0,1.0,layak
Pekerjaan_Bangunan/Pabrik/Tambang/Operator_Mesin/Teknisi/Montir,Gaya Hidup,Kendaraan,Berwujud,0.0,Lemah,False,Lunas,8.0,497466113.0,11,1,Ya,Merk_D,Ya,Ya,2.0,Pernah,Resiko Tinggi,13.0,Pribadi,1.0,1.0,layak
Sales/_agen_penjualan_/_pemasaran,Tempat Tinggal,Rekening Tabungan dan Deposito,Berwujud,0.0,Cukup,True,Belum Lunas,5.0,4430841.0,75,16,Tidak,Merk_G,Tidak,Tidak,-1.0,Tidak Pernah,Meragukan,15.0,Non-Pribadi,1.0,0.0,tidak layak
Direktur_/_Komisaris,Tempat Tinggal,Bangunan,Berwujud,0.0,Cukup,True,Belum Lunas,7.0,20116713.0,56,17,Ya,Merk_F,Tidak,Ya,-1.0,Tidak Pernah,Lemah,12.0,Non-Pribadi,1.0,0.0,tidak layak
Staf_penjualan_dan_pemasaran,Pendidikan,Piutang Usaha,Tak berwujud,0.0,Cukup,True,Belum Lunas,4.0,946507.0,43,1,Tidak,Merk_I,Tidak,Ya,2.0,Pernah,Meragukan,6.0,Non-Pribadi,1.0,1.0,layak
Pengacara/Konsultan_Hukum/Pejabat_di_Pengadilan,Bisnis/Usaha,Kendaraan,Berwujud,0.0,Sangat Lemah,True,Lunas,6.0,30390530.0,14,3,Tidak,Merk_B,Ya,Tidak,0.0,Pernah,Meragukan,0.0,Pribadi,1.0,1.0,layak
Supervisor/asisten_manager,Gaya Hidup,Mesin dan Peralatan,Berwujud,0.0,Sangat Lemah,False,Belum Lunas,3.0,5419206.0,9,5,Ya,Merk_E,Ya,Tidak,1.0,Pernah,Cukup,6.0,Non-Pribadi,1.0,1.0,layak
Pengacara/Konsultan_Hukum/Pejabat_di_Pengadilan,Tempat Tinggal,Mesin dan Peralatan,Berwujud,0.0,Cukup,True,Belum Lunas,7.0,5559301.0,103,19,Tidak,Merk_G,Ya,Ya,2.0,Tidak Pernah,Sangat Kuat,5.0,Non-Pribadi,1.0,0.0,tidak layak
Staf_penjualan_dan_pemasaran,Pendidikan,Piutang Usaha,Tak berwujud,0.0,Cukup,False,Lunas,5.0,162823.0,21,3,Tidak,Merk_I,Ya,Ya,1.0,Pernah,Cukup,11.0,Non-Pribadi,1.0,1.0,layak
Pekerjaan_Profesional_Lainnya,Pendidikan,Rumah,Berwujud,0.0,Resiko Tinggi,False,Belum Lunas,6.0,6187785.0,13,2,Ya,Merk_H,Ya,Tidak,0.0,Pernah,Cukup,8.0,Pribadi,1.0,1.0,layak
Karyawan_Tetap,Kesehatan,Surat Berharga,Tak berwujud,0.0,Sangat Kuat,False,Belum Lunas,9.0,2379547.0,23,2,Ya,Merk_K,Tidak,Ya,1.0,Tidak Pernah,Kuat,17.0,Pribadi,1.0,1.0,layak
Staf_penjualan_dan_pemasaran,Bisnis/Usaha,Rekening Tabungan dan Deposito,Berwujud,0.0,Lemah,True,Lunas,4.0,872549549.0,18,10,Tidak,Merk_A,Tidak,Ya,2.0,Tidak Pernah,Lemah,12.0,Pribadi,1.0,1.0,layak
Dokter,Pendidikan,Asuransi Jiwa,Tak berwujud,0.0,Lemah,False,Belum Lunas,4.0,920497.0,38,2,Tidak,Merk_H,Tidak,Tidak,2.0,Pernah,Kuat,10.0,Pribadi,1.0,1.0,layak
Pelajar,Kesehatan,Surat Berharga,Tak berwujud,0.0,Kuat,False,Lunas,2.0,902793822.0,17,2,Ya,Merk_J,Tidak,Ya,0.0,Pernah,Resiko Tinggi,14.0,Non-Pribadi,1.0,1.0,layak
Pelajar,Kesehatan,Mesin dan Peralatan,Berwujud,0.0,Cukup,True,Belum Lunas,6.0,4291900.0,20,1,Tidak,Merk_K,Ya,Tidak,0.0,Pernah,Resiko Tinggi,0.0,Pribadi,1.0,1.0,layak
Professional/Agen/Mitra,Bisnis/Usaha,Asuransi Jiwa,Tak berwujud,0.0,Lemah,True,Belum Lunas,5.0,14846414.0,18,6,Ya,Merk_A,Ya,Tidak,1.0,Tidak Pernah,Resiko Tinggi,8.0,Pribadi,1.0,1.0,layak
Manager/eksekutif,Bisnis/Usaha,Piutang Usaha,Tak berwujud,0.0,Lemah,True,Lunas,8.0,2550059.0,56,2,Ya,Merk_B,Tidak,Ya,0.0,Tidak Pernah,Sangat Lemah,0.0,Pribadi,1.0,0.0,tidak layak
Notaris,Gaya Hidup,Rumah,Berwujud,0.0,Cukup,True,Lunas,7.0,65559107.0,10,1,Ya,Merk_D,Tidak,Ya,1.0,Pernah,Kuat,6.0,Non-Pribadi,1.0,1.0,layak
Petugas_Keamanan,Kesehatan,Rekening Tabungan dan Deposito,Berwujud,0.0,Sangat Lemah,False,Belum Lunas,4.0,787669.0,10,1,Tidak,Merk_K,Ya,Ya,1.0,Pernah,Kuat,1.0,Non-Pribadi,1.0,1.0,layak
Driver/Pengemudi/Supir/Kurir,Kesehatan,Asuransi Jiwa,Tak berwujud,0.0,Cukup,False,Lunas,6.0,321768090.0,6,2,Ya,Merk_K,Tidak,Ya,2.0,Pernah,Resiko Tinggi,3.0,Pribadi,1.0,1.0,layak
Direktur_Utama_/_Presiden_Komisaris,Gaya Hidup,Piutang Usaha,Tak berwujud,0.0,Resiko Tinggi,False,Lunas,5.0,3560960.0,9,4,Ya,Merk_E,Tidak,Ya,2.0,Tidak Pernah,Sangat Lemah,17.0,Non-Pribadi,1.0,1.0,layak
Staf_penjualan_dan_pemasaran,Bisnis/Usaha,Surat Berharga,Tak berwujud,0.0,Kuat,True,Belum Lunas,10.0,63004778.0,38,9,Ya,Merk_B,Ya,Tidak,-1.0,Pernah,Meragukan,6.0,Pribadi,1.0,1.0,layak
Pekerjaan_Bangunan/Pabrik/Tambang/Operator_Mesin/Teknisi/Montir,Gaya Hidup,Rekening Tabungan dan Deposito,Berwujud,0.0,Cukup,True,Belum Lunas,2.0,62635.0,7,3,Ya,Merk_D,Ya,Tidak,0.0,Tidak Pernah,Resiko Tinggi,15.0,Pribadi,1.0,1.0,layak
Petugas_Kebersihan,Bisnis/Usaha,Kendaraan,Berwujud,0.0,Sangat Lemah,True,Lunas,9.0,244769135.0,52,10,Tidak,Merk_C,Ya,Ya,2.0,Tidak Pernah,Meragukan,13.0,Pribadi,1.0,0.0,tidak layak
Pekerjaan_Bangunan/Pabrik/Tambang/Operator_Mesin/Teknisi/Montir,Pendidikan,Hak Kekayaan Intelektual,Tak berwujud,0.0,Sangat Kuat,False,Lunas,1.0,837556525.0,30,3,Tidak,Merk_I,Tidak,Ya,1.0,Tidak Pernah,Kuat,13.0,Non-Pribadi,1.0,1.0,layak
Direktur_/_Komisaris,Gaya Hidup,Asuransi Jiwa,Tak berwujud,0.0,Sangat Kuat,True,Lunas,3.0,3923775.0,24,3,Ya,Merk_D,Ya,Ya,-1.0,Pernah,Sangat Lemah,18.0,Pribadi,1.0,1.0,layak
Wartawan/Reporter/Jurnalis/Editor,Bisnis/Usaha,Rekening Tabungan dan Deposito,Berwujud,0.0,Sangat Lemah,False,Lunas,7.0,9640456.0,30,9,Ya,Merk_A,Ya,Ya,1.0,Tidak Pernah,Meragukan,3.0,Non-Pribadi,1.0,1.0,layak
Konsultan/Kontraktor/Arsitek,Gaya Hidup,Surat Berharga,Tak berwujud,0.0,Sangat Kuat,False,Lunas,10.0,544699.0,12,5,Ya,Merk_D,Tidak,Tidak,2.0,Pernah,Meragukan,18.0,Non-Pribadi,1.0,1.0,layak
Pekerjaan_Profesional_Lainnya,Bisnis/Usaha,Mesin dan Peralatan,Berwujud,0.0,Meragukan,True,Belum Lunas,9.0,839811534.0,37,8,Tidak,Merk_C,Tidak,Tidak,0.0,Pernah,Sangat Kuat,8.0,Non-Pribadi,1.0,1.0,layak
Pemilik/Owner/Self-emplyment,Kesehatan,Mesin dan Peralatan,Berwujud,0.0,Sangat Kuat,True,Belum Lunas,9.0,575899.0,22,2,Tidak,Merk_J,Tidak,Tidak,-1.0,Tidak Pernah,Kuat,15.0,Pribadi,1.0,1.0,layak
Aktor/Publik_Figur/Musisi,Bisnis/Usaha,Surat Berharga,Tak berwujud,0.0,Kuat,True,Belum Lunas,8.0,1811566.0,35,4,Tidak,Merk_C,Tidak,Tidak,-1.0,Pernah,Resiko Tinggi,17.0,Non-Pribadi,1.0,1.0,layak
Pekerjaan_Profesional_Lainnya,Kesehatan,Bangunan,Berwujud,0.0,Cukup,True,Belum Lunas,6.0,650604.0,21,1,Tidak,Merk_J,Ya,Ya,1.0,Pernah,Kuat,6.0,Pribadi,1.0,1.0,layak
Wartawan/Reporter/Jurnalis/Editor,Gaya Hidup,Surat Berharga,Tak berwujud,0.0,Meragukan,False,Lunas,4.0,134597.0,15,1,Tidak,Merk_D,Ya,Tidak,0.0,Pernah,Lemah,5.0,Non-Pribadi,1.0,1.0,layak
Petugas_Keamanan,Gaya Hidup,Tanah,Berwujud,0.0,Sangat Kuat,True,Lunas,7.0,17321796.0,11,4,Ya,Merk_D,Tidak,Ya,1.0,Tidak Pernah,Resiko Tinggi,11.0,Pribadi,1.0,1.0,layak
Direktur_/_Komisaris,Kesehatan,Rumah,Berwujud,0.0,Cukup,True,Belum Lunas,4.0,678693137.0,22,1,Tidak,Merk_J,Tidak,Tidak,2.0,Tidak Pernah,Meragukan,16.0,Non-Pribadi,1.0,1.0,layak
Pemilik/Owner/Self-emplyment,Gaya Hidup,Bangunan,Berwujud,0.0,Resiko Tinggi,True,Belum Lunas,7.0,411332.0,8,1,Ya,Merk_E,Ya,Ya,-1.0,Tidak Pernah,Kuat,10.0,Non-Pribadi,1.0,1.0,layak
Aktor/Publik_Figur/Musisi,Gaya Hidup,Hak Kekayaan Intelektual,Tak berwujud,0.0,Lemah,False,Lunas,6.0,25417727.0,7,4,Ya,Merk_D,Tidak,Tidak,0.0,Tidak Pernah,Lemah,13.0,Non-Pribadi,1.0,1.0,layak
Notaris,Tempat Tinggal,Asuransi Jiwa,Tak berwujud,0.0,Cukup,False,Belum Lunas,6.0,2171841.0,110,7,Ya,Merk_G,Tidak,Tidak,-1.0,Tidak Pernah,Lemah,12.0,Pribadi,1.0,0.0,tidak layak
Staf_administrasi_resepsionanis_sekretaris,Gaya Hidup,Kendaraan,Berwujud,0.0,Sangat Kuat,False,Lunas,7.0,85882675.0,21,1,Tidak,Merk_E,Tidak,Tidak,-1.0,Tidak Pernah,Kuat,11.0,Non-Pribadi,1.0,1.0,layak
Staf_bagian_penagihan_kredit_di_bank,Pendidikan,Mesin dan Peralatan,Berwujud,0.0,Meragukan,False,Belum Lunas,5.0,10198672.0,28,2,Ya,Merk_I,Ya,Ya,1.0,Tidak Pernah,Lemah,1.0,Pribadi,1.0,1.0,layak
Sales/_agen_penjualan_/_pemasaran,Pendidikan,Piutang Usaha,Tak berwujud,0.0,Sangat Lemah,True,Lunas,8.0,33979936.0,22,2,Ya,Merk_I,Tidak,Tidak,0.0,Pernah,Meragukan,15.0,Pribadi,1.0,1.0,layak
Akuntan/Akuntan_Publik/Auditor,Kesehatan,Surat Berharga,Tak berwujud,0.0,Sangat Lemah,False,Lunas,3.0,280489.0,15,1,Tidak,Merk_K,Tidak,Ya,2.0,Tidak Pernah,Cukup,13.0,Pribadi,1.0,1.0,layak
Ibu_Rumah_Tangga,Pendidikan,Hak Kekayaan Intelektual,Tak berwujud,0.0,Lemah,True,Lunas,6.0,285456477.0,38,3,Ya,Merk_H,Ya,Tidak,1.0,Pernah,Resiko Tinggi,20.0,Pribadi,1.0,1.0,layak
Aktor/Publik_Figur/Musisi,Pendidikan,Mesin dan Peralatan,Berwujud,0.0,Meragukan,False,Lunas,6.0,51528510.0,36,2,Tidak,Merk_H,Ya,Ya,-1.0,Pernah,Lemah,13.0,Non-Pribadi,1.0,1.0,layak
Dokter,Gaya Hidup,Piutang Usaha,Tak berwujud,0.0,Resiko Tinggi,False,Belum Lunas,6.0,2553563.0,24,5,Ya,Merk_D,Tidak,Ya,-1.0,Tidak Pernah,Meragukan,20.0,Pribadi,1.0,1.0,layak
Kru_Kapal/Pesawat,Kesehatan,Piutang Usaha,Tak berwujud,0.0,Sangat Kuat,True,Belum Lunas,6.0,52110276.0,7,1,Ya,Merk_J,Ya,Tidak,-1.0,Pernah,Meragukan,8.0,Pribadi,1.0,1.0,layak
Dokter,Bisnis/Usaha,Tanah,Berwujud,0.0,Meragukan,False,Belum Lunas,1.0,382701.0,31,6,Tidak,Merk_B,Ya,Ya,-1.0,Tidak Pernah,Sangat Lemah,2.0,Pribadi,1.0,1.0,layak
Karyawan_Tetap,Kesehatan,Surat Berharga,Tak berwujud,0.0,Kuat,False,Lunas,4.0,809867109.0,6,1,Tidak,Merk_K,Ya,Tidak,0.0,Pernah,Cukup,6.0,Non-Pribadi,1.0,1.0,layak
"Anggota_Parlemen_(DPRD,_DPD,_MPR)",Tempat Tinggal,Piutang Usaha,Tak berwujud,0.0,Meragukan,True,Belum Lunas,10.0,8944067.0,101,8,Ya,Merk_G,Tidak,Tidak,1.0,Tidak Pernah,Sangat Lemah,2.0,Pribadi,1.0,0.0,tidak layak
Karyawan_Tetap,Tempat Tinggal,Rumah,Berwujud,0.0,Sangat Kuat,True,Lunas,9.0,24500872.0,57,11,Tidak,Merk_G,Ya,Tidak,1.0,Tidak Pernah,Cukup,9.0,Pribadi,1.0,0.0,tidak layak
Pekerjaan_Profesional_Lainnya,Pendidikan,Hak Kekayaan Intelektual,Tak berwujud,0.0,Cukup,False,Belum Lunas,4.0,68438880.0,43,2,Ya,Merk_I,Ya,Tidak,0.0,Tidak Pernah,Cukup,9.0,Non-Pribadi,1.0,1.0,layak
Pengacara/Konsultan_Hukum/Pejabat_di_Pengadilan,Kesehatan,Hak Kekayaan Intelektual,Tak berwujud,0.0,Sangat Kuat,False,Lunas,2.0,17361735.0,11,1,Tidak,Merk_J,Ya,Tidak,0.0,Tidak Pernah,Lemah,17.0,Non-Pribadi,1.0,1.0,layak
Direktur_/_Komisaris,Tempat Tinggal,Bangunan,Berwujud,0.0,Cukup,False,Lunas,6.0,8297151.0,107,15,Ya,Merk_F,Ya,Ya,2.0,Pernah,Cukup,0.0,Non-Pribadi,1.0,0.0,tidak layak
Pegawai_Negeri_Sipil,Kesehatan,Surat Berharga,Tak berwujud,0.0,Sangat Lemah,False,Lunas,2.0,379273.0,17,2,Ya,Merk_K,Ya,Tidak,0.0,Tidak Pernah,Sangat Lemah,9.0,Pribadi,1.0,1.0,layak
Ibu_Rumah_Tangga,Kesehatan,Tanah,Berwujud,0.0,Cukup,False,Lunas,5.0,88033542.0,23,2,Tidak,Merk_K,Tidak,Tidak,2.0,Tidak Pernah,Lemah,19.0,Pribadi,1.0,1.0,layak
Aktor/Publik_Figur/Musisi,Bisnis/Usaha,Mesin dan Peralatan,Berwujud,0.0,Sangat Lemah,False,Lunas,7.0,505667617.0,17,3,Tidak,Merk_B,Tidak,Tidak,0.0,Tidak Pernah,Lemah,4.0,Pribadi,1.0,1.0,layak
Konsultan/Kontraktor/Arsitek,Bisnis/Usaha,Asuransi Jiwa,Tak berwujud,0.0,Cukup,True,Belum Lunas,3.0,9727444.0,23,7,Tidak,Merk_B,Ya,Tidak,1.0,Tidak Pernah,Kuat,20.0,Non-Pribadi,1.0,1.0,layak
Karyawan_Tetap,Gaya Hidup,Rekening Tabungan dan Deposito,Berwujud,0.0,Cukup,True,Belum Lunas,1.0,857523212.0,11,3,Tidak,Merk_E,Tidak,Ya,1.0,Pernah,Kuat,10.0,Non-Pribadi,1.0,1.0,layak
Petugas_Kebersihan,Gaya Hidup,Kendaraan,Berwujud,0.0,Kuat,True,Lunas,10.0,87459388.0,13,4,Ya,Merk_D,Tidak,Tidak,-1.0,Tidak Pernah,Meragukan,19.0,Pribadi,1.0,1.0,layak
Staf_administrasi_resepsionanis_sekretaris,Tempat Tinggal,Hak Kekayaan Intelektual,Tak berwujud,0.0,Resiko Tinggi,False,Lunas,8.0,425646143.0,113,9,Tidak,Merk_G,Ya,Ya,-1.0,Tidak Pernah,Cukup,14.0,Pribadi,1.0,0.0,tidak layak
Petugas_Kebersihan,Bisnis/Usaha,Bangunan,Berwujud,0.0,Kuat,True,Lunas,4.0,425014.0,20,6,Ya,Merk_A,Tidak,Ya,-1.0,Pernah,Cukup,10.0,Pribadi,1.0,1.0,layak
Pekerjaan_Profesional_Lainnya,Bisnis/Usaha,Asuransi Jiwa,Tak berwujud,0.0,Cukup,True,Belum Lunas,5.0,61244593.0,57,6,Tidak,Merk_C,Tidak,Tidak,1.0,Pernah,Sangat Lemah,5.0,Pribadi,1.0,0.0,tidak layak
Staf_bagian_penagihan_kredit_di_bank,Gaya Hidup,Hak Kekayaan Intelektual,Tak berwujud,0.0,Sangat Lemah,False,Lunas,4.0,6290839.0,11,3,Tidak,Merk_D,Ya,Ya,-1.0,Tidak Pernah,Resiko Tinggi,1.0,Pribadi,1.0,1.0,layak
Tidak_Bekerja,Tempat Tinggal,Mesin dan Peralatan,Berwujud,0.0,Sangat Lemah,False,Lunas,3.0,486553474.0,46,12,Ya,Merk_G,Ya,Ya,2.0,Tidak Pernah,Cukup,0.0,Pribadi,1.0,1.0,layak
Tidak_Bekerja,Gaya Hidup,Asuransi Jiwa,Tak berwujud,0.0,Sangat Lemah,False,Belum Lunas,1.0,963257425.0,11,3,Tidak,Merk_D,Tidak,Ya,1.0,Tidak Pernah,Sangat Lemah,12.0,Pribadi,1.0,1.0,layak
Staf_administrasi_resepsionanis_sekretaris,Gaya Hidup,Asuransi Jiwa,Tak berwujud,0.0,Resiko Tinggi,True,Belum Lunas,4.0,8580506.0,10,5,Tidak,Merk_E,Tidak,Ya,0.0,Pernah,Meragukan,15.0,Pribadi,1.0,1.0,layak
Pengacara/Konsultan_Hukum/Pejabat_di_Pengadilan,Tempat Tinggal,Rekening Tabungan dan Deposito,Berwujud,0.0,Cukup,False,Lunas,6.0,5898225.0,117,20,Ya,Merk_F,Ya,Tidak,2.0,Tidak Pernah,Sangat Lemah,18.0,Non-Pribadi,1.0,0.0,tidak layak
Staf_Lainnya,Tempat Tinggal,Kendaraan,Berwujud,0.0,Cukup,False,Belum Lunas,5.0,7433907.0,68,15,Tidak,Merk_G,Ya,Tidak,0.0,Tidak Pernah,Sangat Lemah,19.0,Pribadi,1.0,0.0,tidak layak
Staf_administrasi_resepsionanis_sekretaris,Pendidikan,Rekening Tabungan dan Deposito,Berwujud,0.0,Kuat,False,Belum Lunas,9.0,81177183.0,30,3,Ya,Merk_I,Ya,Ya,-1.0,Pernah,Lemah,1.0,Non-Pribadi,1.0,1.0,layak
Aktor/Publik_Figur/Musisi,Tempat Tinggal,Kendaraan,Berwujud,0.0,Kuat,False,Lunas,2.0,938380.0,52,11,Ya,Merk_F,Tidak,Tidak,1.0,Pernah,Meragukan,3.0,Non-Pribadi,1.0,0.0,tidak layak
Pegawai_Toko,Kesehatan,Rumah,Berwujud,0.0,Sangat Lemah,True,Lunas,4.0,219011.0,10,1,Ya,Merk_J,Ya,Tidak,2.0,Tidak Pernah,Sangat Lemah,15.0,Pribadi,1.0,1.0,layak
Ibu_Rumah_Tangga,Gaya Hidup,Bangunan,Berwujud,0.0,Lemah,True,Lunas,6.0,3479664.0,9,3,Tidak,Merk_D,Tidak,Tidak,0.0,Tidak Pernah,Sangat Lemah,2.0,Non-Pribadi,1.0,1.0,layak
Wartawan/Reporter/Jurnalis/Editor,Bisnis/Usaha,Piutang Usaha,Tak berwujud,0.0,Meragukan,False,Lunas,5.0,507162.0,46,6,Tidak,Merk_A,Ya,Tidak,-1.0,Pernah,Lemah,3.0,Non-Pribadi,1.0,1.0,layak
TNI/Polri,Bisnis/Usaha,Kendaraan,Berwujud,0.0,Meragukan,False,Belum Lunas,2.0,569291.0,44,4,Ya,Merk_B,Ya,Ya,0.0,Tidak Pernah,Kuat,19.0,Non-Pribadi,1.0,1.0,layak
Staf_administrasi_resepsionanis_sekretaris,Gaya Hidup,Surat Berharga,Tak berwujud,0.0,Meragukan,False,Belum Lunas,3.0,411619.0,20,3,Tidak,Merk_D,Ya,Tidak,1.0,Pernah,Lemah,15.0,Non-Pribadi,1.0,1.0,layak
